Documentation Name,Category,URL of Location,Location (text),Description of Item,Destination,Last Update,Planned Cadence,Status,Notes
Triage Prioritization,Training Material,https://domo.domo.com/page/452330784,Triage 101,Old steps of what to prioritize in Triage,Aprimo,N/A,Yearly,Not Moved,
(Triage) Process,Training Material,https://domo.domo.com/page/452330784,Triage 101,Old Triage Process,Aprimo,N/A,Yearly,Not Moved,
(Triage) Spam,Training Material,https://domo.domo.com/page/452330784,Triage 101,Old Spam Process,Aprimo,N/A,Yearly,Not Moved,
Standard Triage Flowchart,Training Material,https://domo.domo.com/page/452330784,Triage 101,Flowchart of how to assign standard cases,Aprimo,3/11/24,Yearly,Not Moved,
Preferred Triage Flowchart,Training Material,https://domo.domo.com/page/452330784,Triage 101,Flowchart of how to assign preferred cases,Aprimo,3/11/24,Yearly,Not Moved,
Triage 101,SOP/ Approved Reply,https://domo.domo.com/page/452330784,Triage 101,instructions and approved wording for cases of this nature,Mintlify,N/A,bi-annually,Not Moved,
Entire Instance Locked Out,SOP / Approved Reply,https://domo.domo.com/page/452330784,Triage 101,SOP and guidelines for dealing with a customer that is locked entirely out of instance,Mintlify,N/A,bi-annually,Not Moved,
Release Night SOP,SOP,https://domo.domo.com/page/452330784,Triage 101,SOP for triage on a Release Night,Mintlify,8/27/24,bi-annually,Not Moved,
Triage Process (ancient),SOP,https://domo.domo.com/page/452330784,Triage 101,SOP from 2018,Drop,4/20/18,N/A,N/A,"Old, irrelevant Triage instructions, we have made significant changes to this"
Deleted Content,SOP/Template,https://domo.domo.com/page/452330784,Triage 101,SOP and Template for deleted content in a customer instance,Mintlify,7/9/24,bi-annually,Not Moved,
PAT Standard Operating Procedure,SOP,https://domo.domo.com/page/452330784,Triage 101,How to handle a PAT as Triage,Mintlify,9/19/24,Yearly,Not Moved,
Partner Cases in Triage SOP,SOP,https://domo.domo.com/page/452330784,Triage 101,Handling cases from Partners in Triage,Mintlify,6/6/24,Yearly,Not Moved,
Triage SOP for Old/Re-Opened Cases and Duplicates,SOP,https://domo.domo.com/page/452330784/kpis/details/1284982316,Triage 101,How to handle old/re-opened cases and duplicate cases,Mintlify,2/19/25,Yearly,Not Moved,
Basic Connector Troubleshooting,Guide,https://domo-support.domo.com/s/article/360042937634?language=en_US,KB,How to troubleshoot a connector,Mintlify,10/24/22,Yearly,Not Moved,
Connector Authentication Troubleshooting,Guide,https://domo-support.domo.com/s/article/360043442353?language=en_US,KB,How to troubleshoot a connector with an authentication issue,Mintlify,10/24/22,Yearly,Not Moved,
